"surah_number","surah_name_bn","surah_name_ar","first_page","first_line","last_page","last_line","source","reviewer_ok"
"78","আন-নাবা","النبإ","528","3","529","6","quran-foundation-indopak-16",""
"79","আন-নাযিআত","النازعات","529","9","530","13","quran-foundation-indopak-16",""
"80","আবাসা","عبس","530","16","531","16","quran-foundation-indopak-16",""
"81","আত-তাকভীর","التكوير","532","2","532","14","quran-foundation-indopak-16",""
"82","আল-ইনফিতার","الإنفطار","532","16","533","8","quran-foundation-indopak-16",""
"83","আল-মুতাফফিফীন","المطففين","533","10","534","13","quran-foundation-indopak-16",""
"84","আল-ইনশিকাক","الإنشقاق","534","15","535","10","quran-foundation-indopak-16",""
"85","আল-বুরূজ","البروج","535","12","536","8","quran-foundation-indopak-16",""
"86","আত-তারিক","الطارق","536","10","536","16","quran-foundation-indopak-16",""
"87","আল-আলা","الأعلى","537","2","537","10","quran-foundation-indopak-16",""
"88","আল-গাশিয়া","الغاشية","537","12","538","6","quran-foundation-indopak-16",""
"89","আল-ফজর","الفجر","538","8","539","7","quran-foundation-indopak-16",""
"90","আল-বালাদ","البلد","539","9","540","2","quran-foundation-indopak-16",""
"91","আশ-শামস","الشمس","540","4","540","10","quran-foundation-indopak-16",""
"92","আল-লাইল","الليل","540","12","541","5","quran-foundation-indopak-16",""
"93","আদ-দুহা","الضحى","541","7","541","11","quran-foundation-indopak-16",""
"94","আশ-শারহ","الشرح","541","13","541","16","quran-foundation-indopak-16",""
"95","আত-তীন","التين","542","2","542","6","quran-foundation-indopak-16",""
"96","আল-আলাক","العلق","542","8","542","16","quran-foundation-indopak-16",""
"97","আল-কদর","القدر","543","2","543","4","quran-foundation-indopak-16",""
"98","আল-বাইয়্যিনাহ","البينة","543","6","543","16","quran-foundation-indopak-16",""
"99","আয-যালযালাহ","الزلزلة","544","2","544","6","quran-foundation-indopak-16",""
"100","আল-আদিয়াত","العاديات","544","8","544","12","quran-foundation-indopak-16",""
"101","আল-কারিয়াহ","القارعة","544","14","545","2","quran-foundation-indopak-16",""
"102","আত-তাকাসুর","التكاثر","545","4","545","7","quran-foundation-indopak-16",""
"103","আল-আসর","العصر","545","9","545","10","quran-foundation-indopak-16",""
"104","আল-হুমাযাহ","الهمزة","545","13","545","16","quran-foundation-indopak-16",""
"105","আল-ফীল","الفيل","546","2","546","4","quran-foundation-indopak-16",""
"106","কুরাইশ","قريش","546","6","546","8","quran-foundation-indopak-16",""
"107","আল-মাউন","الماعون","546","10","546","13","quran-foundation-indopak-16",""
"108","আল-কাওসার","الكوثر","546","15","546","16","quran-foundation-indopak-16",""
"109","আল-কাফিরুন","الكافرون","547","2","547","4","quran-foundation-indopak-16",""
"110","আন-নাসর","النصر","547","7","547","8","quran-foundation-indopak-16",""
"111","আল-মাসাদ","المسد","547","11","547","13","quran-foundation-indopak-16",""
"112","আল-ইখলাস","الإخلاص","1","1","1","13","hand-reviewed-tanzil",""
"113","আল-ফালাক","الفلق","548","3","548","5","quran-foundation-indopak-16",""
"114","আন-নাস","الناس","548","8","548","10","quran-foundation-indopak-16",""
